"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads";"Quantidade Seguidores"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Acervo de Dados Técnicos";"acervo de dados técnicos da ANP, armazenados no BDEP (Banco de Dados de Exploração e Produção), inclui dados de poços, dados sísmicos, dados não sísmicos, levantamentos geoquímicos, estudos de interpretação de dados, além dos respectivos relatórios e arquivos complementares. Informações sobre os dados técnicos cadastrados no acervo podem ser obtidas por meio das tabelas que se seguem, conforme o tipo de dado. Essas informações também são disponibilizadas pelo sistema de mapas GeoANP. Os dados técnicos tornam-se públicos após o final do período de sigilo (confidencialidade), durante o qual têm restrições de acesso. Esse período varia de dois a dez anos, dependendo do tipo de dado. Desde 2019, têm sido publicadas no site da ANP as relações dos dados de poços e sísmicos que se tornaram públicos em cada ano. Por fim, deve ser ressaltado que nesta página apenas informações sobre os dados técnicos são disponibilizadas, não os dados em si. As instruções para acesso aos dados técnicos públicos podem ser obtidas aqui.";"Acervo,Dados Estratégicos,Dados Técnicos,Geoquímicos,Levantamentos Sísmicos Públicos,Levantamentos Sísmicos Públicos 2019 - 2020,Poços Perfurados Públicos,Tabela de Dados Não Sísmicos,Tabela de Dados de Geoquímica,Tabela de Estudos,Tabela de Levantamentos Geoquímicos,Tabela de Poços";"26";"0";"586";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Aditamento de conteúdo local";"Aditamento de contratos de E&amp;P: Resolução ANP n° 726/2018
A Resolução ANP n° 726/2018 permitiu que as empresas que atuam em exploração e produção de petróleo e gás natural optassem por aditar a Cláusula de Conteúdo Local dos contratos vigentes, com efeitos para as fases não encerradas, conforme autorizado pela Resolução CNPE nº 1/2018, que permitiu a adoção de exigências de conteúdo local distintas daquelas vigentes nos contratos já celebrados.
No total, foram atualizados os compromissos de conteúdo local para 266 contratos, alcançando 258 blocos exploratórios e eventuais campos decorrentes, além de 85 campos de produção. A relação completa dos contratos submetidos para aditamento e os dados finais de alcance dos Termos celebrados podem ser visualizados nesta página.  O prazo para as empresas interessadas pedirem aditamento de seus contratos foi encerrado em 10 de agosto de 2018. Veja abaixo o resultado dos processos de aditamento finalizados, discriminados por rodada, bloco ou campo e operadora";"Aditamento,Dados Estratégicos,conteúdo,conteúdo local,local";"2";"0";"32";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Amostras de Rochas e Fluidos";"Amostras são porção de rocha, sedimento ou fluido extraído de poço, da superfície do fundo oceânico ou da superfície terrestre. Os procedimentos para coleta e manejo das amostras nas bacias sedimentares brasileiras estão definidos na Resolução ANP n° 71/2014.  Eis alguns dos tipos de amostras coletadas: testemunhos de sondagem e seus respectivos plugues; amostras de calha; amostras laterais; amostras de fluidos; lâminas delgadas, bioestratigráficas e seções polidas.  Considerando que a ANP ainda não possui uma estrutura definitiva para o recebimento dessas amostras , as empresas responsáveis pela aquisição são suas fiéis depositárias. A ANP realiza o controle dessas amostras por meio de ações de fiscalização e controle documental e de campo, e assegura a aplicação das regras estipuladas para o acesso às amostras públicas.  Anualmente, as empresas e demais instituições que armazenam amostras da União declaram o volume de tais acervos por meio da DAA – Declaração Anual de Acervo. A consolidação dos dados públicos encaminhados pelas DAAs é publicada no site da ANP, conforme estipula o art. 10, § 7º, da Resolução ANP nº 71/2014. A consolidação do acervo é segmentada por tipo de amostra.  O acesso ao acervo de amostras da União é efetuado por meio do formulário de Solicitação de Acesso a Amostras – SAA. Esse acesso está sujeito à estrita recuperação de custos por parte dos depositários dessas amostras. Os valores cobrados pelas depositárias para atendimento das SAAs são publicados anualmente no site da ANP, conforme estipula o art. 64 da Resolução ANP nº 71/2014.";"Amostra,Calha,Dados Estratégicos,Fluidos,Laterais,Lâminas,Plugues,Rochas,Testemunhos";"40";"0";"158";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2018";"O Anuário Estatístico Brasileiro de Petróleo, Gás Natural e Biocombustíveis 2018 consolida os dados referentes ao desempenho da indústria e do sistema de abastecimento de petróleo, gás natural e biocombustíveis no período de 2008 a 2017.";"Blocos Econômicos,Brent,Consumo de Gás Natural,Consumo de Petróleo,Região Geográfica,Rodada de Licitações,Spot,WTI,capacidade total,gás natural,licitações,petróleo,preço médio,produção de gás natural,produção de petróleo,refino,reservas,reservas provadas";"245";"0";"273";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2019";"<p>O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2019 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2009-2018. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2019 representadas em formato de dados abertos.</p>
";"Blocos Econômicos,Dados Estratégicos,LGN,PRH,Produção de LGN,Programa de Recursos Humanos ANP,bacia sedimentar,biocombustíveis,combustíveis líquidos,corrente de petróleo,derivados de petróleo,distribuidoras,etanol,etanol anidro,etanol hidratado,gás natural,levantamentos geofísicos,mar,petróleo,produção,regiões geográficas,reservas,rodadas de licitações,terra,vendas";"242";"0";"299";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2020";"O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2020 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2010-2019. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2020 representadas em formato de dados abertos.";"16 rodada,Bacias Sedimentares,Blocos Econômicos,Brent,Cessão Onerosa,Ciclo da Oferta Permanente,Concessão de Blocos,GLP,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré-Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado das Rodadas,Rodada de Licitações,Spot,Vendas de QAV,WTI,b100,biocombustíveis,derivados de petróleo,etanol,etanol anidro,etanol hidratado,gasolina A,gnl,gás natural,mar,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,resultado das licitações,terra,óleo diesel";"246";"0";"317";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2021";"<p>O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2021 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2011-2020. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2021 representadas em formato de dados abertos.</p>
";"2 ciclo,Bacias Sedimentares,Blocos Econômicos,Brent,Ciclo da Oferta Permanente,Concessão de Blocos,Dados Estratégicos,GLP,GNL,Mar,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré-Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado da Licitações,Resultado das Rodadas,Rodada de Licitações,Spot,Vendas de QAV,WTI,b100,biocombustíveis,derivados de petróleo,etanol,etanol anidro,etanol hidratado,gasolina A,gás natural,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,terra,óleo diesel";"252";"0";"474";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2022";"O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2022 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2012-2021. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2022 representadas em metadados e no formato CSV.
A ANP não divulgará os dados de reservas internacionais provadas de petróleo e gás natural de 2021, porque o BP Statistical Review of World Energy 2022, nossa fonte de dados internacionais, ainda não publicou esses dados. Portanto serão repetidos os dados do Anuário de 2021.";"2 ciclo,Bacias Sedimentares,Blocos Econômicos,Brent,Ciclo da Oferta Permanente,Concessão de Blocos,Dados Estratégicos,GLP,GNL,Mar,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré-Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado da Licitações,Resultado das Rodadas,Rodada de Licitações,Spot,Vendas de QAV,WTI,b100,biocombustíveis,derivados de petróleo,etanol,etanol anidro,etanol hidratado,gasolina A,gás natural,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,terra,óleo diesel";"256";"0";"701";"0"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2023";"O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2023 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2013-2022. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2023 representadas em metadados e no formato CSV.

A ANP não divulgará os dados de reservas internacionais provadas de petróleo e gás natural de 2021 e 2022, porque o Statistical Review of World Energy 2023, nossa fonte de dados internacionais, não publicou esses dados. Portanto serão repetidos os dados do Anuário de 2022.";"2 ciclo,Bacias Sedimentares,Biocombustíveis,Blocos Econômicos,Brent,Ciclo da Oferta Permanente,Concessão de Blocos,Dados Estratégicos,Etanol,GLP,GNL,Gás Natural,Mar,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré-Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado da Licitações,Resultado das Rodadas,Rodada de Licitações,Spot,Terra,Vendas de QAV,WTI,b100,derivados de petróleo,etanol anidro,etanol hidratado,gasolina A,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,óleo diesel";"256";"0";"1477";"2"
"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis - ANP";"Anuário Estatístico 2024";"O Anuário Estatístico Brasileiro do Petróleo, Gás Natural e Biocombustíveis 2024 consolida os dados referentes ao desempenho da indústria do petróleo, gás natural e biocombustíveis e do sistema de abastecimento nacionais no período 2014-2023. Estão disponíveis para consulta e download as tabelas integrantes do Anuário 2024 representadas em metadados e no formato CSV.";"2 ciclo,Bacias Sedimentares,Biocombustíveis,Brent,Ciclo da Oferta Permanente,Concessão de Blocos,Dados Estratégicos,Etanol,GLP,GNL,Gás Natural,Mar,Oferta Permanente,PRH,Partilha de Produção,Por Ciclos,Produção de LGN,Pré- Sal,Regime de Partilha,Reservas provadas de petróleo,Resultado da Licitações,Resultado das Rodadas,Rodada de Licitações,Spot,Terra,Vendas de QAV,WTI,b100,derivados de petróleo,etanol anidro,etanol hidratado,gasolina A,por blocos,preços médios,produção de petróleo,querosene de aviação,querosene iluminante,regiões geográficas,óleo diesel";"264";"0";"786";"1"
